position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UC8QAdpiEWAOg3AOCCFDCOYw,"MBL - Movimento Brasil Livre",,2014-10-17T20:53:52Z,,BR,356208461,1350000,3338,https://yt3.ggpht.com/wNjZKKv2csIsbu15j7-2ysDJH1BlQA3x0GV8ZbUQa90qJYrRn-R2-J21yIfU_66OqcnUr2Rw6oQ=s800-c-k-c0x00ffffff-no-rj,"mbl|mblnews|mblivetv|direita|política|movimento brasil livre|renan santos|canal do mbl|videos do mbl|conteudo do mbl|mbl é de esquerda|mbl esquerdistas|mbl é de direita","Politics|Society (parent topic)"
2,UCZYyHef3eBoBEztAOY_Fe_g,"MBLiveTV - Lives do MBL","O CANAL DE LIVES DO MBL",2020-05-22T17:35:39.285611Z,,BR,137725427,226000,1948,https://yt3.ggpht.com/ng8NsY3aRmBWKfL07Y12mmpxn3e_m9qWH_HwMBr7h4BVaRhQRHxsw5tMnXNYRo4FHu71QtX1Ow=s800-c-k-c0x00ffffff-no-rj,"MBL|Política|mbl|mblive|mblivetv|política|podcast|mblnews|Movimento Brasil Livre|Kim Kataguiri|Mamãe Falei|Renan Santos|Arthur do Val|movimento brasil livre|cortes de podcast|mbl news|cortes do mblnews|cortes do mbl|cortes do mblivetv|MBLIVE TV|mblive tv|mbl live tv","Politics|Society (parent topic)"
3,UCkzeXfKxoG_UE4lGt3F-YtQ,"MOVIMENTO BRASIL LIVRE","O Canal JOVEM DE DIREITA vai trazer pra você notícias de hoje, política, cortes, curiosidades da política, apoiando os Princípios Conservadores que são de Deus, Família, Pátria, Bons Costumes, Liberdade, Conservadorismo, Tudo para construir um Brasil Melhor #JovemDeDireita #BrasilAcimaDeTudo #DeusAcimaDeTodos #Brasil #Familia #Patria #Deus ",2022-06-27T13:52:26.144661Z,,BR,34247,934,113,https://yt3.ggpht.com/UtEuLyB2N76Ut20oWN4HtmCRBhHDCLaXzkTSJvS3brsZyYIhpHsx_NtJHsBak1BBkTH1imSVtKU=s800-c-k-c0x00ffffff-no-rj,"Bolsonaro|patriota|pátria|Brasil|eleições|familia|conservador|conservadorismo|bobo|bozo|bolsominio|humor|petralha|petralhada|noticias|Engraçado|video|Videos|de direita|humor político|humor gospel|Bolsonaro tem razão|Brasil acima de tudo|Deus acima de todos|videos engraçados|politica engraçada|Lula ladrão|patriota conservador|fora pt|Sobre política|noticias sobre política|tudo sobre bolsonaro|jair messias bolsonaro|Brasil melhor|videos virais|como ?","Politics|Society (parent topic)"
4,UC-msNgHub6ynNHnGZ33FQgw,"Movimento Brasil Livre Mbl",,2013-06-18T20:15:12Z,,,615,32,2,https://yt3.ggpht.com/ytc/AIdro_lAEkI5NRf9W7ab0Ub0D3Ts-0spJGdFLapeeFsk_uVaaA=s800-c-k-c0x00ffffff-no-rj,,
5,UCDfscKXacKBPouACKh8weFg,"Movimento Brasil Livre Pará","Seu canal de informação sobre política e atualidades, sob olhar de cabocos paraenses. Siga-nos em todas as redes: @mblivrepa",2019-12-22T03:51:50.772696Z,,BR,9071,1200,21,https://yt3.ggpht.com/EKAR0QkyCKkXsPgVDjxXaOwxJjGSepNe8o6zTMZZNlehmMZV2-4jB8OCoDsCtipYIGjqYUNTgA=s800-c-k-c0x00ffffff-no-rj,"Pará|mblivrepa|mblpa|política|MBL|Ativismo|Brasil|MBL Pará|Movimento Brasil Livre - Pará|Estado do Pará|Movimento Brasil Livre","Society (parent topic)|Politics"
6,UC14VArz4_kkrIEpWLfGEe-g,"Movimento Brasil Livre MBL",,2016-05-03T05:56:29Z,,,25,1,1,https://yt3.ggpht.com/ytc/AIdro_lTJvrzaRCgCqkD47eVKy30dQKcdxfegqb90pht_aY=s800-c-k-c0x00ffffff-no-rj,,
7,UCIHSrkINtDuizrh2MHcOFgA,"Movimento Brasil Livre - Nova Friburgo","O MBL (Movimento Brasil Livre) é um movimento suprapartidário que luta por um país melhor. Somos o núcleo municipal da cidade de Nova Friburgo, no estado do Rio de Janeiro. Mande-nos um inbox e venha fazer parte!",2018-08-22T16:29:54Z,,,152,12,3,https://yt3.ggpht.com/ytc/AIdro_kTyrgdZ6puiPeCLM_-gr0in37-LtVdf8uezf7XNtQ=s800-c-k-c0x00ffffff-no-rj,,"Politics|Society (parent topic)"
8,UCVXX5lHrlsgB8oQuQu_MOUA,"MBL - Movimento Brasil Livre - Ceará","O MBL - Movimento Brasil Livre - Ceará, está no Youtube com vídeos exclusivos e muito conteúdo político. Conheça o Movimento em www.mbl.org.br. Seja membro: https://bit.ly/30hhLlg",2020-06-08T20:46:52.37308Z,,BR,0,115,0,https://yt3.ggpht.com/ytc/AIdro_k6JfDw8rWmdHscA_JpLHw9RqdXYm7CUDGPcRwwqJy9xA=s800-c-k-c0x00ffffff-no-rj,,
9,UCAin8hft3Bv3iXJRAlOPlbg,"Movimento Brasil Livre Indaiatuba",,2015-10-16T23:33:01Z,,BR,28926,119,5,https://yt3.ggpht.com/ytc/AIdro_lMt59Zp93HVFnNzgbhKhBXPh3H8AJa30_Dj_fqe0EHqQ=s800-c-k-c0x00ffffff-no-rj,"Política|Impeachment|PT|Dilma|Lula|Movimento Brasil Livre","Politics|Society (parent topic)"
10,UCt986EJtN794nvK8yNDtBGQ,"TÓPICO - Movimento Brasil Livre",,2019-10-27T22:39:33.281086Z,,BR,799,4,2,https://yt3.ggpht.com/ytc/AIdro_nl41_q5ylHWw6yKklOgG3dgjrS64Dl4hx_W_snGkXT1Q=s800-c-k-c0x00ffffff-no-rj,,"Politics|Society (parent topic)"
